,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-EOE02-D5451,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5451,程正維  Ext.:28057,EE-0024
1,TC0-1-EOE02-D5452,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5452,程正維  Ext.:28057,EE-0024
2,TC0-1-EOE02-D5455,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5455,程正維  Ext.:28057,EE-0024
3,TC0-1-EOE02-D5456,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMCB-202,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5456,程正維  Ext.:28057,EE-0024
4,TC0-1-EOE02-D5441,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (1/2),,,,,,,,,,,,,,,A,XK21A-0EMDG-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5441,程正維  Ext.:28057,EE-0024
5,TC0-1-EOE02-D5442,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (2/2),,,,,,,,,,,,,,,A,XK21A-0EMDG-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDG-102,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5442,程正維  Ext.:28057,EE-0024
6,TC0-1-EOE02-D5471,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMDW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5471,程正維  Ext.:28057,EE-0024
7,TC0-1-EOE02-D5472,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMDW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5472,程正維  Ext.:28057,EE-0024
8,TC0-1-EOE02-D5474,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMDW-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5474,程正維  Ext.:28057,EE-0024
9,TC0-1-EOE02-D5475,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMDW-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMDW-202,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5475,程正維  Ext.:28057,EE-0024
10,TC0-1-EOE02-D5481,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (1/2),,,,,,,,,,,,,,,A,XK21A-0EMFW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMFW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (1/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5481,程正維  Ext.:28057,EE-0024
11,TC0-1-EOE02-D5482,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (2/2),,,,,,,,,,,,,,,A,XK21A-0EMFW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0EMFW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5482,程正維  Ext.:28057,EE-0024
12,TC0-1-EOE02-D5911,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5911,程正維  Ext.:28057,EE-0024
13,TC0-1-EOE02-D5912,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (2/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (2/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5912,程正維  Ext.:28057,EE-0024
14,TC0-1-EOE02-D5913,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (3/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (3/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5913,程正維  Ext.:28057,EE-0024
15,TC0-1-EOE02-D5914,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (4/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (4/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5914,程正維  Ext.:28057,EE-0024
16,TC0-1-EOE02-D5516,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (1/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (1/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5516,程正維  Ext.:28057,EE-0024
17,TC0-1-EOE02-D5517,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (2/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-202,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (2/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5517,程正維  Ext.:28057,EE-0024
18,TC0-1-EOE02-D5518,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (3/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-203,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-203,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (3/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5518,程正維  Ext.:28057,EE-0024
19,TC0-1-EOE02-D5519,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (4/4),,,,,,,,,,,,,,,A,XK21A-0NMAW-204,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMAW-204,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (4/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5519,程正維  Ext.:28057,EE-0024
20,TC0-1-EOE02-D5681,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5681,程正維  Ext.:28057,EE-0024
21,TC0-1-EOE02-D5682,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5682,程正維  Ext.:28057,EE-0024
22,TC0-1-EOE02-D5683,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5683,程正維  Ext.:28057,EE-0024
23,TC0-1-EOE02-D5684,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5684,程正維  Ext.:28057,EE-0024
