,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT11 (1/1),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5821,程正維  Ext.:28057,EE-0019
1,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPCT-106,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT12 (1/1),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5826,程正維  Ext.:28057,EE-0019
2,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPCT-201,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT21 (1/1),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5881,程正維  Ext.:28057,EE-0019
3,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPCT-206,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT22 (1/1),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5886,程正維  Ext.:28057,EE-0019
4,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-EDG (1/1),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5841,程正維  Ext.:28057,EE-0019
5,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPDW-001,ELECTRICAL SINGLE LINE DIAGRAM FOR DWTP DC SYSTEM,A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5861,程正維  Ext.:28057,EE-0019
6,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (1/2),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5871,程正維  Ext.:28057,EE-0019
7,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (2/2),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5872,程正維  Ext.:28057,EE-0019
8,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPEH-001,ELECTRICAL SINGLE LINE DIAGRAM FOR SEH DC SYSTEM,A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5801,程正維  Ext.:28057,EE-0019
9,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPEH-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-SEH (1/2),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5802,程正維  Ext.:28057,EE-0019
10,TPC-TC(C0)-CD-22-0074,IFA,2022/02/26,2022/01/26,XK21A-0DPEH-102,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-SEH (2/2),A,A,DC UPS ELECTRICAL SINGLE LINE DIAGRAM,TC0-1-EOE02-D5803,程正維  Ext.:28057,EE-0019
