,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE
0,TC0-1-KDM02-D0023,,,,,,A,Piping & Instrument Diagrams (P & ID) 1,,,,,,,,,,,,,,,A,F0002-TSK-9023,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9023,Piping & Instrument Diagrams (P & ID) 1,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0023,蕭舜予  Ext.:22121 
1,TC0-1-KDM02-D0024,,,,,,A,Piping & Instrument Diagrams (P & ID) 2,,,,,,,,,,,,,,,A,F0002-TSK-9024,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9024,Piping & Instrument Diagrams (P & ID) 2,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0024,蕭舜予  Ext.:22121 
2,TC0-1-KDM02-D0025,,,,,,A,Piping & Instrument Diagrams (P & ID) 3,,,,,,,,,,,,,,,A,F0002-TSK-9025,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9025,Piping & Instrument Diagrams (P & ID) 3,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0025,蕭舜予  Ext.:22121 
3,TC0-1-KDM02-D0026,,,,,,A,Piping & Instrument Diagrams (P & ID) 4,,,,,,,,,,,,,,,A,F0002-TSK-9026,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9026,Piping & Instrument Diagrams (P & ID) 4,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0026,蕭舜予  Ext.:22121 
4,TC0-1-KDM02-D0027,,,,,,A,Piping & Instrument Diagrams (P & ID) 5,,,,,,,,,,,,,,,A,F0002-TSK-9027,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9027,Piping & Instrument Diagrams (P & ID) 5,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0027,蕭舜予  Ext.:22121 
5,TC0-1-KDM02-D0028,,,,,,A,Piping & Instrument Diagrams (P & ID) 6,,,,,,,,,,,,,,,A,F0002-TSK-9028,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9028,Piping & Instrument Diagrams (P & ID) 6,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0028,蕭舜予  Ext.:22121 
6,TC0-1-KDM02-D0029,,,,,,A,Piping & Instrument Diagrams (P & ID) 7,,,,,,,,,,,,,,,A,F0002-TSK-9029,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9029,Piping & Instrument Diagrams (P & ID) 7,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0029,蕭舜予  Ext.:22121 
7,TC0-1-KDM02-D0030,,,,,,A,Piping & Instrument Diagrams (P & ID) 8,,,,,,,,,,,,,,,A,F0002-TSK-9030,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9030,Piping & Instrument Diagrams (P & ID) 8,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0030,蕭舜予  Ext.:22121 
8,TC0-1-KDM02-D0031,,,,,,A,Piping & Instrument Diagrams (P & ID) 9,,,,,,,,,,,,,,,A,F0002-TSK-9031,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9031,Piping & Instrument Diagrams (P & ID) 9,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0031,蕭舜予  Ext.:22121 
9,TC0-1-KDM02-D0032,,,,,,A,Piping & Instrument Diagrams (P & ID) 10,,,,,,,,,,,,,,,A,F0002-TSK-9032,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0087,TPC-TC(C0)-CD-22-0087,IFA,2022/03/08,2022/02/08,F0002-TSK-9032,Piping & Instrument Diagrams (P & ID) 10,A,R,Piping & Instrument Diagrams (P & ID),TC0-1-KDM02-D0032,蕭舜予  Ext.:22121 
