,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TC0-1-KWM02-D0025,,,,,,A,P & ID Wastewater Treatment System (1-22)_Oily Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0025,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0025,P & ID Wastewater Treatment System (1-22)_Oily Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0025,蕭舜予  Ext.:22121 ,R
1,TC0-1-KWM02-D0026,,,,,,A,P & ID Wastewater Treatment System (2-22)_Oily Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0026,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0026,P & ID Wastewater Treatment System (2-22)_Oily Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0026,蕭舜予  Ext.:22121 ,R
2,TC0-1-KWM02-D0027,,,,,,A,P & ID Wastewater Treatment System (3-22)_Oily Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0027,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0027,P & ID Wastewater Treatment System (3-22)_Oily Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0027,蕭舜予  Ext.:22121 ,R
3,TC0-1-KWM02-D0028,,,,,,A,P & ID Wastewater Treatment System (4-22)_HC Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0028,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0028,P & ID Wastewater Treatment System (4-22)_HC Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0028,蕭舜予  Ext.:22121 ,R
4,TC0-1-KWM02-D0029,,,,,,A,P & ID Wastewater Treatment System (5-22)_HC Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0029,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0029,P & ID Wastewater Treatment System (5-22)_HC Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0029,蕭舜予  Ext.:22121 ,R
5,TC0-1-KWM02-D0030,,,,,,A,P & ID Wastewater Treatment System (6-22)_Chemical Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0030,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0030,P & ID Wastewater Treatment System (6-22)_Chemical Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0030,蕭舜予  Ext.:22121 ,R
6,TC0-1-KWM02-D0031,,,,,,A,P & ID Wastewater Treatment System (7-22)_Chemical Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0031,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0031,P & ID Wastewater Treatment System (7-22)_Chemical Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0031,蕭舜予  Ext.:22121 ,R
7,TC0-1-KWM02-D0032,,,,,,A,P & ID Wastewater Treatment System (8-22)_Chemical Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0032,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0032,P & ID Wastewater Treatment System (8-22)_Chemical Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0032,蕭舜予  Ext.:22121 ,R
8,TC0-1-KWM02-D0033,,,,,,A,P & ID Wastewater Treatment System (9-22)_Chemical Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0033,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0033,P & ID Wastewater Treatment System (9-22)_Chemical Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0033,蕭舜予  Ext.:22121 ,R
9,TC0-1-KWM02-D0034,,,,,,A,P & ID Wastewater Treatment System (10-22)_Chemical Wastewater Treatment System for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0034,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0440,TPC-TC(C0)-CD-22-0440,IFA,2022/06/26,2022/05/26,M0015-EC-0034,P & ID Wastewater Treatment System (10-22)_Chemical Wastewater Treatment System for WWTS,A,A,"P & ID Wastewater Treatment System, Design Calculation Sheet for Piping Wall Thickness for WWTS",TC0-1-KWM02-D0034,蕭舜予  Ext.:22121 ,R
