,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41A-00000-001,ELECTRICAL POWER SYSTEM LEGEND AND SYMBOLS,B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5001,程正維  Ext.:28057,EE-0229,A
1,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41A-00000-002,ELECTRICAL POWER SYSTEM GENERAL NOTES,B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5002,程正維  Ext.:28057,EE-0229,A
2,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0KEY0-001,DRAWING INDEX OF ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR OVERHEAD,B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5601,程正維  Ext.:28057,EE-0229,A
3,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0KEY0-002,DRAWING INDEX OF ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR CABLE TUNNEL(1/3),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5602,程正維  Ext.:28057,EE-0229,A
4,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0KEY0-003,DRAWING INDEX OF ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR CABLE TUNNEL(2/3),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5603,程正維  Ext.:28057,EE-0229,A
5,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0KEY0-004,DRAWING INDEX OF ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR CABLE TUNNEL(3/3),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5604,程正維  Ext.:28057,EE-0229,A
6,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-001,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (1/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5731,程正維  Ext.:28057,EE-0229,A
7,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-002,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (2/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5732,程正維  Ext.:28057,EE-0229,A
8,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-003,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (3/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5733,程正維  Ext.:28057,EE-0229,A
9,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-004,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (4/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5734,程正維  Ext.:28057,EE-0229,A
10,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-005,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (5/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5735,程正維  Ext.:28057,EE-0229,A
11,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-006,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (6/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5736,程正維  Ext.:28057,EE-0229,A
12,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-007,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (7/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5737,程正維  Ext.:28057,EE-0229,A
13,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-008,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (8/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5738,程正維  Ext.:28057,EE-0229,A
14,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-009,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (9/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5739,程正維  Ext.:28057,EE-0229,A
15,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-010,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (10/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5740,程正維  Ext.:28057,EE-0229,A
16,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-011,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (11/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5741,程正維  Ext.:28057,EE-0229,A
17,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-012,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (12/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5742,程正維  Ext.:28057,EE-0229,A
18,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-013,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (13/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5743,程正維  Ext.:28057,EE-0229,A
19,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-014,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (14/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5744,程正維  Ext.:28057,EE-0229,A
20,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-015,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (15/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5745,程正維  Ext.:28057,EE-0229,A
21,,,,,,,,,,,,,,,,,,,,,,,,,,TPC-TC(C0)-CD-22-0753,IFA,2022/08/29,2022/07/29,XK41C-0PPR0-016,ELECTRICAL CABLE TRAY LAYOUT WITH SUPPORT PLAN FOR PIPE RACK (16/22),B,A,Electrical Power System Legend and General Notes & Electrical Cable Tray Layout for Pipe Rack,TC0-1-ERE02-D5746,程正維  Ext.:28057,EE-0229,A
