,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-EOE02-D5451,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (1/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5451,程正維  Ext.:28057,EE-0230,A
1,TC0-1-EOE02-D5452,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB1 (2/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5452,程正維  Ext.:28057,EE-0230,A
2,TC0-1-EOE02-D5455,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (1/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (1/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5455,程正維  Ext.:28057,EE-0230,A
3,TC0-1-EOE02-D5456,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (2/2),,,,,,,,,,,,,,,A,XK21A-0EMCB-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMCB-202,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-MCB2 (2/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5456,程正維  Ext.:28057,EE-0230,A
4,TC0-1-EOE02-D5441,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (1/1),,,,,,,,,,,,,,,A,XK21A-0EMDG-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-EDG (1/1),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5441,程正維  Ext.:28057,EE-0230,A
5,TC0-1-EOE02-D5471,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (1/1),,,,,,,,,,,,,,,A,XK21A-0EMDW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP1 (1/1),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5471,程正維  Ext.:28057,EE-0230,A
6,TC0-1-EOE02-D5474,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (1/1),,,,,,,,,,,,,,,A,XK21A-0EMDW-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMDW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EMCC-DWTP2 (1/1),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5474,程正維  Ext.:28057,EE-0230,A
7,TC0-1-EOE02-D5481,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (1/2),,,,,,,,,,,,,,,A,XK21A-0EMFW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMFW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (1/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5481,程正維  Ext.:28057,EE-0230,A
8,TC0-1-EOE02-D5482,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (2/2),,,,,,,,,,,,,,,A,XK21A-0EMFW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMFW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-A (2/2),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5482,程正維  Ext.:28057,EE-0230,A
9,TC0-1-EOE02-D5484,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-B (1/1),,,,,,,,,,,,,,,A,XK21A-0EMFW-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0EMFW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR MCC-FW-B (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5484,程正維  Ext.:28057,EE-0230,A
10,TC0-1-EOE02-D5911,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5911,程正維  Ext.:28057,EE-0230,A
