,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-KDM02-D0023,,,,,,1,Piping & Instrument Diagrams (P & ID) 1 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9023,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9023,Piping & Instrument Diagrams (P & ID) 1 for DWTS,1,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0023,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
1,TC0-1-KDM02-D0024,,,,,,2,Piping & Instrument Diagrams (P & ID) 2 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9024,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9024,Piping & Instrument Diagrams (P & ID) 2 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0024,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
2,TC0-1-KDM02-D0025,,,,,,2,Piping & Instrument Diagrams (P & ID) 3 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9025,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9025,Piping & Instrument Diagrams (P & ID) 3 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0025,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
3,TC0-1-KDM02-D0028,,,,,,2,Piping & Instrument Diagrams (P & ID) 6 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9028,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9028,Piping & Instrument Diagrams (P & ID) 6 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0028,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
4,TC0-1-KDM02-D0029,,,,,,2,Piping & Instrument Diagrams (P & ID) 7 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9029,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9029,Piping & Instrument Diagrams (P & ID) 7 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0029,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
5,TC0-1-KDM02-D0030,,,,,,2,Piping & Instrument Diagrams (P & ID) 8 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9030,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9030,Piping & Instrument Diagrams (P & ID) 8 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0030,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
6,TC0-1-KDM02-D0031,,,,,,2,Piping & Instrument Diagrams (P & ID) 9 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9031,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9031,Piping & Instrument Diagrams (P & ID) 9 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0031,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
7,TC0-1-KDM02-D0032,,,,,,1,Piping & Instrument Diagrams (P & ID) 10 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9032,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9032,Piping & Instrument Diagrams (P & ID) 10 for DWTS,1,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0032,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
8,TC0-1-KDM02-D0033,,,,,,2,Piping & Instrument Diagrams (P & ID) 11 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9033,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9033,Piping & Instrument Diagrams (P & ID) 11 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0033,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
9,TC0-1-KDM02-D0034,,,,,,1,Piping & Instrument Diagrams (P & ID) 12 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9034,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9034,Piping & Instrument Diagrams (P & ID) 12 for DWTS,1,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0034,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
10,TC0-1-KDM02-D0035,,,,,,1,Piping & Instrument Diagrams (P & ID) 13 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9035,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9035,Piping & Instrument Diagrams (P & ID) 13 for DWTS,1,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0035,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
11,TC0-1-KDM02-D0036,,,,,,2,Piping & Instrument Diagrams (P & ID) 14 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9036,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9036,Piping & Instrument Diagrams (P & ID) 14 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0036,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
12,TC0-1-KDM02-D0037,,,,,,2,Piping & Instrument Diagrams (P & ID) 15 for DWTS,,,,,,,,,,,,,,,C,F0002-TSK-9037,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0807,TPC-TC(C0)-CD-22-0807,IFC,2022/09/08,2022/08/09,F0002-TSK-9037,Piping & Instrument Diagrams (P & ID) 15 for DWTS,2,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0037,蕭舜予  Ext.:22121 ,R,VDR-F0002-TSK-0169
