,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2030,Piping & Instrument Diagrams (P & ID) SYMBOL & LEGEND (1/2) For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2030,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
1,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2031,Piping & Instrument Diagrams (P & ID) SYMBOL & LEGEND (2/2) For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2031,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
2,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2032,Piping & Instrument Diagrams (P & ID) Tie in For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2032,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
3,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2033,Piping & Instrument Diagrams (P & ID) Feeding For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2033,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
4,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2034,Piping & Instrument Diagrams (P & ID) Deaerator A For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2034,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
5,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2035,Piping & Instrument Diagrams (P & ID) Evaporator A For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2035,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
6,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2036,Piping & Instrument Diagrams (P & ID) Crystallizer A For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2036,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
7,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2037,Piping & Instrument Diagrams (P & ID) MVR A For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2037,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
8,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2038,Piping & Instrument Diagrams (P & ID) Deaerator B For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2038,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
9,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2039,Piping & Instrument Diagrams (P & ID) Evaporator B For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2039,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
10,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2040,Piping & Instrument Diagrams (P & ID) Crystallizer B For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2040,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
11,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2041,Piping & Instrument Diagrams (P & ID) MVR B For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2041,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
12,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2042,Piping & Instrument Diagrams (P & ID) Brine Dehydrator For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2042,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
13,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2043,Piping & Instrument Diagrams (P & ID) Sludge Recirculation For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2043,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
14,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2044,Piping & Instrument Diagrams (P & ID) Vacuum Harrow Dryer For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2044,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
15,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2045,Piping & Instrument Diagrams (P & ID) Condensate Water Tank B For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2045,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
16,TPC-TC(C0)-CD-22-0939,IFA,2022/09/25,2022/08/26,M0022-TE-2046,Piping & Instrument Diagrams (P & ID) Vacuum Pumps For MVR System of AWWTS,A,A,Piping & Instrument Diagrams (P & ID) For MVR System of AWWTS,TC0-1-KVM02-D2046,蕭舜予  Ext.:22121 ,R,VDR-M0022-TE-0121
