,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-002,MAIN CONTROL BUILDING (BLD-3302) BASEMENT FLOOR PLAN @ FFL.-3500,0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3302,陳博仁  Ext.:23341,CB-0381,A
1,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-002C,CALCULATION SHEET FOR MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION,0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-C3302,陳博仁  Ext.:23341,CB-0381,A
2,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-003,MAIN CONTROL BUILDING (BLD-3302) GROUND FLOOR PLAN @ FFL.+1000,0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3303,陳博仁  Ext.:23341,CB-0381,A
3,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-004,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (1),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3304,陳博仁  Ext.:23341,CB-0381,A
4,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-005,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (2),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3305,陳博仁  Ext.:23341,CB-0381,A
5,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-006,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (3),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3306,陳博仁  Ext.:23341,CB-0381,A
6,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-007,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (4),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3307,陳博仁  Ext.:23341,CB-0381,A
7,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-008,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (5),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3308,陳博仁  Ext.:23341,CB-0381,A
8,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-009,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (6),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3309,陳博仁  Ext.:23341,CB-0381,A
9,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-010,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (7),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3310,陳博仁  Ext.:23341,CB-0381,A
10,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-011,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (8),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3311,陳博仁  Ext.:23341,CB-0381,A
11,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-012,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (9),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3312,陳博仁  Ext.:23341,CB-0381,A
12,TPC-TC(C0)-CD-22-1041,IFC,2022/10/08,2022/09/08,XF38B-3300-013,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (10),0,C,Main Control Building (BLD-3302) - Foundation (IFC),TC0-1-CNC02-D3313,陳博仁  Ext.:23341,CB-0381,A
