,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-002,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION PLAN,B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3202,陳博仁  Ext.:23341,CB-0483,A
1,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-002C,CALCULATION SHEET FOR DEMINERALIZED WATER TREATMENT PLANT (BLD-3201)  STEEL STRUCTURE FOUNDATION,B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-C3202,陳博仁  Ext.:23341,CB-0483,A
2,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-003,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (1),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3203,陳博仁  Ext.:23341,CB-0483,A
3,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-004,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (2),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3204,陳博仁  Ext.:23341,CB-0483,A
4,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-005,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (3),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3205,陳博仁  Ext.:23341,CB-0483,A
5,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-006,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (4),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3206,陳博仁  Ext.:23341,CB-0483,A
6,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-007,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (5),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3207,陳博仁  Ext.:23341,CB-0483,A
7,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-008,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (6),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3208,陳博仁  Ext.:23341,CB-0483,A
8,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-009,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (7),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3209,陳博仁  Ext.:23341,CB-0483,A
9,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-010,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (8),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3210,陳博仁  Ext.:23341,CB-0483,A
10,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-011,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (9),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3211,陳博仁  Ext.:23341,CB-0483,A
11,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-012,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (10),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3212,陳博仁  Ext.:23341,CB-0483,A
12,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-013,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE  FOUNDATION SECTIONS & DETAILS (11),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3213,陳博仁  Ext.:23341,CB-0483,A
13,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-014,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (12),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3214,陳博仁  Ext.:23341,CB-0483,A
14,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-015,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (13),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3215,陳博仁  Ext.:23341,CB-0483,A
15,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-016,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (14),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3216,陳博仁  Ext.:23341,CB-0483,A
16,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-017,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (15),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3217,陳博仁  Ext.:23341,CB-0483,A
